8000  return
8001 LoadArg
8006 ChangeAnimation
8007 Message
8008 Wait
8009 WaitFade
800A WaitMenu
800B SetChrPos
800D MoveTo
8013 Turn
801B MoveZ
801F MoveCameraAt
8020 RotateCamera
8021 ChangeCameraZoom
8022 ChangeCameraPers
8023 ChangeCameraElevation
8024 ChangeCameraDistance
8025 MoveCamera
8026 SaveCamera
8027 RestoreCamera
8028 SetStopFlag
8029 ResetStopFlag
802A SetChrInfoFlag
802B ResetChrInfoFlag
802C SetFlag
802D SetChrWork
802E SetWork
802F JoinParty
8031 SeparateParty
8032 FadeOut
8033 FadeIn
8034 CrossFade
8035 MenuReset
8036 MenuAdd
8037 MenuOpen
8038 MenuClose
8039 YesNoMenu
803D PlaySE
803F SetName
8040 TalkMes
8041 Message2
8042 WaitPrompt
8044 Portrait_Load
8045 Portrait_Unload
8046 Portrait_Create
8047 Portrait_Close
8048 Portrait_Anime
804E ExecuteCmd
804F ExecuteFunc
8050 WaitThread
8054 EventCue
8056 HP_Recover
8058 SP_Recover
805C SetCameraZPlane
805D ResetCameraZPlane
806A LookChr
806F MapHide
8070 MapAnime
8079 ChangeItemSlot
807A DeleteItem
807B GetItem
8080  if
8081  elif
8082  else
8085  goto
8087  endif
808B ResetFollowPoint
808C ResetPartyPos
808E EarthQuake
808F SetLevel
8090 EquipWeapon
8091 EquipArmor
8092 EquipShield
8093 EquipAccessory
8097 SetCheckPoint
8099 WarpMenu
809B DestroyObj
809C GetSkill
809D SetSkillShortCut
80A1 AddEX
80A2 SetPartyMember
80A3 SavePartyMember
80A4 RestorePartyMember
80A5 SetEventPartyChr
80A6 LoadEventPartyChr
80A7 ReleaseEventPartyChr
80AA ResetCameraObserver
80C1 CopyStatus
80C4 EmotionEx
80C6 StopSE
80C8 SetFog
80C9 GetItemMessageExPlus
80CC CampMenu
80D5 SetMapMarker
80D6 DelMapMarker
80DD Portrait_SetKoma
80E6 HP_ORecover
80F1 SetDiaryFlag
80F4 Set3DParticle
80F5 Change3DParticleParam
80F7 Stop3DParticle
80F8 SetOverlay
80F9 StopOverlay
80FB ChrNodeHide
80FD RollCamera
8100 SetMapViewPos
8101 ResetTracks
8103 StartZapping
8104 StopZapping
8105 ChrLightState
8108 CreateLight
810A SetLightRadius
810B SetLightColor
810C CureAll
8112 FadeBGM
8114 Timer
8117 PlayVoice
811C GetTrophy
8120 ChangeSubAnimation
8121 SubAnimationMode
8122 OpenMinimap
8126 TalkPopup
8127 MenuType
8129 SetDoF
812A SetDoFFocus
812B SetGlare
812C SetFogLightFade
812D SetMapLightColor
812E SetMapLightVec
812F SetMapShadowColor
8130 SetMapChrColor
8131 SetChrLightRatio
8132 SetWeaponLevel
8133 WaitCloseWindow
8134 LookRotateLimit
8135 LookRoll
8136 LookSpd
8137 FixCamera
8138 ResetMapParam
8139 SetName2
813A OpenMessage
813B CloseMessage
813C WaitCloseMessage
813D SetWorldMapping
813E SetMotSpd
813F KeyAnimeCreate
8140 KeyAnimeSet
8142 KeyAnimeChara
8142 KeyAnimeChara
8143 KeyAnimeRelease
8143 KeyAnimeRelease
8145 ActiveVoiceStart
8146 ActiveVoiceStop
8147 InterceptStart
8148 Intercept
8149 JoinNPC
814C InterceptStop
814D EquipCostume
814F CallFunc
8155 DelCheckPoint
8158 SoundEfx
815A SaveEventState
815B RestoreEventState
815D InterceptResume
8160 PitchChr
8161 RollChr
8164 SetDiaryCharaFlag
8165 ItemBackup
816B Portrait_SS
816E SetDiaryShopFlag
817D MenuEnable
817F GetTrophyDirect
8180 DelMapMarkerAll
